"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"CYP27C1","Approved symbol","CYP27C1","cytochrome P450 family 27 subfamily C member 1","HGNC:33480","2q14.3"
"CYP2C8","Approved symbol","CYP2C8","cytochrome P450 family 2 subfamily C member 8","HGNC:2622","10q23.33"
"CYP2R1","Approved symbol","CYP2R1","cytochrome P450 family 2 subfamily R member 1","HGNC:20580","11p15.2"
"CYP4F22","Approved symbol","CYP4F22","cytochrome P450 family 4 subfamily F member 22","HGNC:26820","19p13.12"
"CYP7B1","Approved symbol","CYP7B1","cytochrome P450 family 7 subfamily B member 1","HGNC:2652","8q12.3"
"CYSLTR2","Approved symbol","CYSLTR2","cysteinyl leukotriene receptor 2","HGNC:18274","13q14.2"
"CYTB","Alias symbol","MT-CYB","mitochondrially encoded cytochrome b","HGNC:7427","mitochondria"
"DAB2","Approved symbol","DAB2","DAB adaptor protein 2","HGNC:2662","5p13.1"
"DAB2IP","Approved symbol","DAB2IP","DAB2 interacting protein","HGNC:17294","9q33.2"
"DAGLA","Approved symbol","DAGLA","diacylglycerol lipase alpha","HGNC:1165","11q12.2"
"DAP","Approved symbol","DAP","death associated protein","HGNC:2672","5p15.2"
"DAP","Alias symbol","IAPP","islet amyloid polypeptide","HGNC:5329","12p12.1"
"DAP","Alias symbol","DNPEP","aspartyl aminopeptidase","HGNC:2981","2q35"
"DAXX","Approved symbol","DAXX","death domain associated protein","HGNC:2681","6p21.32"
"DAZ1","Approved symbol","DAZ1","deleted in azoospermia 1","HGNC:2682","Yq11.223"
"DAZ2","Approved symbol","DAZ2","deleted in azoospermia 2","HGNC:15964","Yq11.223"
"DAZ3","Approved symbol","DAZ3","deleted in azoospermia 3","HGNC:15965","Yq11.23"
"DAZ4","Approved symbol","DAZ4","deleted in azoospermia 4","HGNC:15966","Yq11.23"
"DAZAP1","Approved symbol","DAZAP1","DAZ associated protein 1","HGNC:2683","19p13.3"
"DBT","Approved symbol","DBT","dihydrolipoamide branched chain transacylase E2","HGNC:2698","1p21.2"
"DCAF12L2","Approved symbol","DCAF12L2","DDB1 and CUL4 associated factor 12 like 2","HGNC:32950","Xq25"
"DCC","Approved symbol","DCC","DCC netrin 1 receptor","HGNC:2701","18q21.2"
"DCDC2","Approved symbol","DCDC2","doublecortin domain containing 2","HGNC:18141","6p22.3"
"DCLRE1C","Approved symbol","DCLRE1C","DNA cross-link repair 1C","HGNC:17642","10p13"
"DCN","Approved symbol","DCN","decorin","HGNC:2705","12q21.33"
"DCTN1","Approved symbol","DCTN1","dynactin subunit 1","HGNC:2711","2p13.1"
"DCUN1D1","Approved symbol","DCUN1D1","defective in cullin neddylation 1 domain containing 1","HGNC:18184","3q26.33"
"DCX","Approved symbol","DCX","doublecortin","HGNC:2714","Xq23"
"DDB2","Approved symbol","DDB2","damage specific DNA binding protein 2","HGNC:2718","11p11.2"
"DDIT3","Approved symbol","DDIT3","DNA damage inducible transcript 3","HGNC:2726","12q13.3"
"DDR1","Approved symbol","DDR1","discoidin domain receptor tyrosine kinase 1","HGNC:2730","6p21.33"
"DDR2","Approved symbol","DDR2","discoidin domain receptor tyrosine kinase 2","HGNC:2731","1q23.3"
"DDX10","Approved symbol","DDX10","DEAD-box helicase 10","HGNC:2735","11q22.3"
"DDX3X","Approved symbol","DDX3X","DEAD-box helicase 3 X-linked","HGNC:2745","Xp11.4"
"DDX3Y","Approved symbol","DDX3Y","DEAD-box helicase 3 Y-linked","HGNC:2699","Yq11.221"
"DDX4","Approved symbol","DDX4","DEAD-box helicase 4","HGNC:18700","5q11.2"
"DDX41","Approved symbol","DDX41","DEAD-box helicase 41","HGNC:18674","5q35.3"
"DDX5","Approved symbol","DDX5","DEAD-box helicase 5","HGNC:2746","17q23.3"
"DDX6","Approved symbol","DDX6","DEAD-box helicase 6","HGNC:2747","11q23.3"
"DEK","Approved symbol","DEK","DEK proto-oncogene","HGNC:2768","6p22.3"
"DES","Approved symbol","DES","desmin","HGNC:2770","2q35"
"DGCR8","Approved symbol","DGCR8","DGCR8 microprocessor complex subunit","HGNC:2847","22q11.21"
"DHCR7","Approved symbol","DHCR7","7-dehydrocholesterol reductase","HGNC:2860","11q13.4"
"DHDDS","Approved symbol","DHDDS","dehydrodolichyl diphosphate synthase subunit","HGNC:20603","1p36.11"
"DHFR","Approved symbol","DHFR","dihydrofolate reductase","HGNC:2861","5q14.1"
"DHFRP2","Approved symbol","DHFRP2","dihydrofolate reductase pseudogene 2","HGNC:2863","6p21.33"
"DHH","Approved symbol","DHH","desert hedgehog signaling molecule","HGNC:2865","12q13.12"
"DHODH","Approved symbol","DHODH","dihydroorotate dehydrogenase (quinone)","HGNC:2867","16q22.2"
"DHX15","Approved symbol","DHX15","DEAH-box helicase 15","HGNC:2738","4p15.2"
"DIAPH1","Approved symbol","DIAPH1","diaphanous related formin 1","HGNC:2876","5q31.3"
"DIAPH2","Approved symbol","DIAPH2","diaphanous related formin 2","HGNC:2877","Xq21.33"
"DICER1","Approved symbol","DICER1","dicer 1, ribonuclease III","HGNC:17098","14q32.13"
"DIRC1","Approved symbol","DIRC1","disrupted in renal carcinoma 1","HGNC:15760","2q32.2"
"DIS3","Approved symbol","DIS3","DIS3 exosome endoribonuclease and 3''-5'' exoribonuclease","HGNC:20604","13q21.33"
"DIS3L2","Approved symbol","DIS3L2","DIS3 like 3'-5' exoribonuclease 2","HGNC:28648","2q37.1"
"DKC1","Approved symbol","DKC1","dyskerin pseudouridine synthase 1","HGNC:2890","Xq28"
"DKK","Unmatched","","","",""
"DLD","Approved symbol","DLD","dihydrolipoamide dehydrogenase","HGNC:2898","7q31.1"
"DLEC1","Approved symbol","DLEC1","DLEC1 cilia and flagella associated protein","HGNC:2899","3p22.2"
"DLG3","Approved symbol","DLG3","discs large MAGUK scaffold protein 3","HGNC:2902","Xq13.1"
"DLG3","Previous symbol","MPP3","MAGUK p55 scaffold protein 3","HGNC:7221","17q21.31"
"DLL3","Approved symbol","DLL3","delta like canonical Notch ligand 3","HGNC:2909","19q13.2"
"DLX3","Approved symbol","DLX3","distal-less homeobox 3","HGNC:2916","17q21.33"
"DMBT1","Approved symbol","DMBT1","deleted in malignant brain tumors 1","HGNC:2926","10q26.13"
"DMD","Approved symbol","DMD","dystrophin","HGNC:2928","Xp21.2-p21.1"
"DMP1","Approved symbol","DMP1","dentin matrix acidic phosphoprotein 1","HGNC:2932","4q22.1"
"DMP1","Alias symbol","DMTF1","cyclin D binding myb like transcription factor 1","HGNC:14603","7q21.12"
"DMPK","Approved symbol","DMPK","DM1 protein kinase","HGNC:2933","19q13.32"
"DNAAF1","Approved symbol","DNAAF1","dynein axonemal assembly factor 1","HGNC:30539","16q24.1"
"DNAAF2","Approved symbol","DNAAF2","dynein axonemal assembly factor 2","HGNC:20188","14q21.3"
"DNAAF4","Approved symbol","DNAAF4","dynein axonemal assembly factor 4","HGNC:21493","15q21.3"
"DNAH11","Approved symbol","DNAH11","dynein axonemal heavy chain 11","HGNC:2942","7p15.3"
"DNAH5","Approved symbol","DNAH5","dynein axonemal heavy chain 5","HGNC:2950","5p15.2"
"DNAI1","Approved symbol","DNAI1","dynein axonemal intermediate chain 1","HGNC:2954","9p13.3"
"DNAI2","Approved symbol","DNAI2","dynein axonemal intermediate chain 2","HGNC:18744","17q25.1"
"DNAJB1","Approved symbol","DNAJB1","DnaJ heat shock protein family (Hsp40) member B1","HGNC:5270","19p13.12"
"DNAJC19","Approved symbol","DNAJC19","DnaJ heat shock protein family (Hsp40) member C19","HGNC:30528","3q26.33"
"DNAJC5","Approved symbol","DNAJC5","DnaJ heat shock protein family (Hsp40) member C5","HGNC:16235","20q13.33"
"DNAL1","Approved symbol","DNAL1","dynein axonemal light chain 1","HGNC:23247","14q24.3"
"DNAL1","Alias symbol","DNAH9","dynein axonemal heavy chain 9","HGNC:2953","17p12"
"DNASE1","Approved symbol","DNASE1","deoxyribonuclease 1","HGNC:2956","16p13.3"
"DNM2","Approved symbol","DNM2","dynamin 2","HGNC:2974","19p13.2"
"DNMT1","Approved symbol","DNMT1","DNA methyltransferase 1","HGNC:2976","19p13.2"
"DNMT3A","Approved symbol","DNMT3A","DNA methyltransferase 3 alpha","HGNC:2978","2p23.3"
"DNMT3B","Approved symbol","DNMT3B","DNA methyltransferase 3 beta","HGNC:2979","20q11.21"
"DOCK8","Approved symbol","DOCK8","dedicator of cytokinesis 8","HGNC:19191","9p24.3"
"DOK7","Approved symbol","DOK7","docking protein 7","HGNC:26594","4p16.3"
"DOLK","Approved symbol","DOLK","dolichol kinase","HGNC:23406","9q34.11"
"DOT1L","Approved symbol","DOT1L","DOT1 like histone lysine methyltransferase","HGNC:24948","19p13.3"
"DPAGT1","Approved symbol","DPAGT1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1","HGNC:2995","11q23.3"
"DPM1","Approved symbol","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","HGNC:3005","20q13.13"
"DPP10","Approved symbol","DPP10","dipeptidyl peptidase like 10","HGNC:20823","2q14.1"
"DPP4","Approved symbol","DPP4","dipeptidyl peptidase 4","HGNC:3009","2q24.2"
"DPP6","Approved symbol","DPP6","dipeptidyl peptidase like 6","HGNC:3010","7q36.2"
"DPYD","Approved symbol","DPYD","dihydropyrimidine dehydrogenase","HGNC:3012","1p21.3"
"DPYS","Approved symbol","DPYS","dihydropyrimidinase","HGNC:3013","8q22.3"
"DRD2","Approved symbol","DRD2","dopamine receptor D2","HGNC:3023","11q23.2"
"DRD3","Approved symbol","DRD3","dopamine receptor D3","HGNC:3024","3q13.31"
"DROSHA","Approved symbol","DROSHA","drosha ribonuclease III","HGNC:17904","5p13.3"
"DSC2","Approved symbol","DSC2","desmocollin 2","HGNC:3036","18q12.1"
"DSC2","Alias symbol","DSC3","desmocollin 3","HGNC:3037","18q12.1"
"DSG1","Approved symbol","DSG1","desmoglein 1","HGNC:3048","18q12.1"
"DSG2","Approved symbol","DSG2","desmoglein 2","HGNC:3049","18q12.1"
"DSG4","Approved symbol","DSG4","desmoglein 4","HGNC:21307","18q12.1"
"DSP","Approved symbol","DSP","desmoplakin","HGNC:3052","6p24.3"
"DSPP","Approved symbol","DSPP","dentin sialophosphoprotein","HGNC:3054","4q22.1"
"DTNA","Approved symbol","DTNA","dystrobrevin alpha","HGNC:3057","18q12.1"
"DTNBP1","Approved symbol","DTNBP1","dystrobrevin binding protein 1","HGNC:17328","6p22.3"
"DTX1","Approved symbol","DTX1","deltex E3 ubiquitin ligase 1","HGNC:3060","12q24.13"
"DUOX2","Approved symbol","DUOX2","dual oxidase 2","HGNC:13273","15q21.1"
"DUOXA2","Approved symbol","DUOXA2","dual oxidase maturation factor 2","HGNC:32698","15q21.1"
"DUSP2","Approved symbol","DUSP2","dual specificity phosphatase 2","HGNC:3068","2q11.2"
"DUSP22","Approved symbol","DUSP22","dual specificity phosphatase 22","HGNC:16077","6p25.3"
"DUSP4","Approved symbol","DUSP4","dual specificity phosphatase 4","HGNC:3070","8p12"
"DUSP9","Approved symbol","DUSP9","dual specificity phosphatase 9","HGNC:3076","Xq28"
"DYNC1H1","Approved symbol","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","HGNC:2961","14q32.31"
"DYNC2H1","Approved symbol","DYNC2H1","dynein cytoplasmic 2 heavy chain 1","HGNC:2962","11q22.3"
"DYRK1A","Approved symbol","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","HGNC:3091","21q22.13"
"DYSF","Approved symbol","DYSF","dysferlin","HGNC:3097","2p13.2"
"E2F3","Approved symbol","E2F3","E2F transcription factor 3","HGNC:3115","6p22.3"
"EBF1","Approved symbol","EBF1","EBF transcription factor 1","HGNC:3126","5q33.3"
"EBP","Approved symbol","EBP","EBP cholestenol delta-isomerase","HGNC:3133","Xp11.23"
"EBP","Alias symbol","SH3D19","SH3 domain containing 19","HGNC:30418","4q31.3"
"EBP","Alias symbol","GLB1","galactosidase beta 1","HGNC:4298","3p22.3"
"ECM1","Approved symbol","ECM1","extracellular matrix protein 1","HGNC:3153","1q21.2"
"ECSIT","Approved symbol","ECSIT","ECSIT signaling integrator","HGNC:29548","19p13.2"
"ECT2L","Approved symbol","ECT2L","epithelial cell transforming 2 like","HGNC:21118","6q24.1"
"EDA","Approved symbol","EDA","ectodysplasin A","HGNC:3157","Xq13.1"
"EDAR","Approved symbol","EDAR","ectodysplasin A receptor","HGNC:2895","2q13"
"EDARADD","Approved symbol","EDARADD","EDAR associated via death domain","HGNC:14341","1q42.3-q43"
"EDIL3","Approved symbol","EDIL3","EGF like and discoidin domains 3","HGNC:3173","5q14.3"
"EDN3","Approved symbol","EDN3","endothelin 3","HGNC:3178","20q13.32"
"EDNRB","Approved symbol","EDNRB","endothelin receptor type B","HGNC:3180","13q22.3"
"EED","Approved symbol","EED","embryonic ectoderm development","HGNC:3188","11q14.2"
"EFEMP2","Approved symbol","EFEMP2","EGF-like fibulin extracellular matrix protein 2","HGNC:3219","11q13.1"
"EFHC1","Approved symbol","EFHC1","EF-hand domain containing 1","HGNC:16406","6p12.2"
"EGFL7","Approved symbol","EGFL7","EGF like domain multiple 7","HGNC:20594","9q34.3"
"EGFR","Approved symbol","EGFR","epidermal growth factor receptor","HGNC:3236","7p11.2"
"EGLN1","Approved symbol","EGLN1","egl-9 family hypoxia inducible factor 1","HGNC:1232","1q42.2"
"EGR1","Approved symbol","EGR1","early growth response 1","HGNC:3238","5q31.2"
"EGR2","Approved symbol","EGR2","early growth response 2","HGNC:3239","10q21.3"
"EHBP1","Approved symbol","EHBP1","EH domain binding protein 1","HGNC:29144","2p15"
"EHMT1","Approved symbol","EHMT1","euchromatic histone lysine methyltransferase 1","HGNC:24650","9q34.3"
"EIF1AX","Approved symbol","EIF1AX","eukaryotic translation initiation factor 1A X-linked","HGNC:3250","Xp22.12"
"EIF2AK3","Approved symbol","EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3","HGNC:3255","2p11.2"
"EIF2B1","Approved symbol","EIF2B1","eukaryotic translation initiation factor 2B subunit alpha","HGNC:3257","12q24.31"
"EIF2B2","Approved symbol","EIF2B2","eukaryotic translation initiation factor 2B subunit beta","HGNC:3258","14q24.3"
"EIF2B3","Approved symbol","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma","HGNC:3259","1p34.1"
"EIF2B4","Approved symbol","EIF2B4","eukaryotic translation initiation factor 2B subunit delta","HGNC:3260","2p23.3"
"EIF2B5","Approved symbol","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon","HGNC:3261","3q27.1"
"EIF3A","Approved symbol","EIF3A","eukaryotic translation initiation factor 3 subunit A","HGNC:3271","10q26.11"
"EIF3A","Previous symbol","EIF6","eukaryotic translation initiation factor 6","HGNC:6159","20q11.22"
"EIF3E","Approved symbol","EIF3E","eukaryotic translation initiation factor 3 subunit E","HGNC:3277","8q23.1"
"EIF4A2","Approved symbol","EIF4A2","eukaryotic translation initiation factor 4A2","HGNC:3284","3q27.3"
"EIF4E","Approved symbol","EIF4E","eukaryotic translation initiation factor 4E","HGNC:3287","4q23"
"EIF4G1","Approved symbol","EIF4G1","eukaryotic translation initiation factor 4 gamma 1","HGNC:3296","3q27.1"
"ELAC2","Approved symbol","ELAC2","elaC ribonuclease Z 2","HGNC:14198","17p12"
"ELANE","Approved symbol","ELANE","elastase, neutrophil expressed","HGNC:3309","19p13.3"
"ELF3","Approved symbol","ELF3","E74 like ETS transcription factor 3","HGNC:3318","1q32.1"
"ELF4","Approved symbol","ELF4","E74 like ETS transcription factor 4","HGNC:3319","Xq26.1"
"ELK4","Approved symbol","ELK4","ETS transcription factor ELK4","HGNC:3326","1q32.1"
"ELL","Approved symbol","ELL","elongation factor for RNA polymerase II","HGNC:23114","19p13.11"
"ELL2","Approved symbol","ELL2","elongation factor for RNA polymerase II 2","HGNC:17064","5q15"
"ELN","Approved symbol","ELN","elastin","HGNC:3327","7q11.23"
"ELN","Alias symbol","ERLN","endoregulin","HGNC:40032","17q25.1"
"ELOC","Approved symbol","ELOC","elongin C","HGNC:11617","8q21.11"
"ELOVL4","Approved symbol","ELOVL4","ELOVL fatty acid elongase 4","HGNC:14415","6q14.1"
"ELP1","Approved symbol","ELP1","elongator acetyltransferase complex subunit 1","HGNC:5959","9q31.3"
"ELP2","Approved symbol","ELP2","elongator acetyltransferase complex subunit 2","HGNC:18248","18q12.2"
"EMD","Approved symbol","EMD","emerin","HGNC:3331","Xq28"
"EML4","Approved symbol","EML4","EMAP like 4","HGNC:1316","2p21"
"EMSY","Approved symbol","EMSY","EMSY transcriptional repressor, BRCA2 interacting","HGNC:18071","11q13.5"
"EMX2","Approved symbol","EMX2","empty spiracles homeobox 2","HGNC:3341","10q26.11"
"ENAM","Approved symbol","ENAM","enamelin","HGNC:3344","4q13.3"
"ENG","Approved symbol","ENG","endoglin","HGNC:3349","9q34.11"
"ENPP1","Approved symbol","ENPP1","ectonucleotide pyrophosphatase/phosphodiesterase 1","HGNC:3356","6q23.2"
"EOMES","Approved symbol","EOMES","eomesodermin","HGNC:3372","3p24.1"
"EP300","Approved symbol","EP300","EP300 lysine acetyltransferase","HGNC:3373","22q13.2"
"EP400","Approved symbol","EP400","E1A binding protein p400","HGNC:11958","12q24.33"
"EPAS1","Approved symbol","EPAS1","endothelial PAS domain protein 1","HGNC:3374","2p21"
"EPB41","Approved symbol","EPB41","erythrocyte membrane protein band 4.1","HGNC:3377","1p35.3"
"EPB41L1","Approved symbol","EPB41L1","erythrocyte membrane protein band 4.1 like 1","HGNC:3378","20q11.23"
"EPB42","Approved symbol","EPB42","erythrocyte membrane protein band 4.2","HGNC:3381","15q15.2"
"EPCAM","Approved symbol","EPCAM","epithelial cell adhesion molecule","HGNC:11529","2p21"
"EPHA3","Approved symbol","EPHA3","EPH receptor A3","HGNC:3387","3p11.1"
"EPHA4","Approved symbol","EPHA4","EPH receptor A4","HGNC:3388","2q36.1"
"EPHA5","Approved symbol","EPHA5","EPH receptor A5","HGNC:3389","4q13.1-q13.2"
"EPHA7","Approved symbol","EPHA7","EPH receptor A7","HGNC:3390","6q16.1"
"EPHB1","Approved symbol","EPHB1","EPH receptor B1","HGNC:3392","3q22.2"
"EPHB2","Approved symbol","EPHB2","EPH receptor B2","HGNC:3393","1p36.12"
"EPHB4","Approved symbol","EPHB4","EPH receptor B4","HGNC:3395","7q22.1"
"EPM2A","Approved symbol","EPM2A","EPM2A glucan phosphatase, laforin","HGNC:3413","6q24.3"
"EPO","Approved symbol","EPO","erythropoietin","HGNC:3415","7q22.1"
"EPO","Alias symbol","TIMP1","TIMP metallopeptidase inhibitor 1","HGNC:11820","Xp11.3"
"EPO","Alias symbol","EPX","eosinophil peroxidase","HGNC:3423","17q22"
"EPOR","Approved symbol","EPOR","erythropoietin receptor","HGNC:3416","19p13.2"
"EPS15","Approved symbol","EPS15","epidermal growth factor receptor pathway substrate 15","HGNC:3419","1p32.3"
"ERAP1","Approved symbol","ERAP1","endoplasmic reticulum aminopeptidase 1","HGNC:18173","5q15"
"ERBB2","Approved symbol","ERBB2","erb-b2 receptor tyrosine kinase 2","HGNC:3430","17q12"
"ERBB3","Approved symbol","ERBB3","erb-b2 receptor tyrosine kinase 3","HGNC:3431","12q13.2"
"ERBB4","Approved symbol","ERBB4","erb-b2 receptor tyrosine kinase 4","HGNC:3432","2q34"
"ERC1","Approved symbol","ERC1","ELKS/RAB6-interacting/CAST family member 1","HGNC:17072","12p13.33"
"ERCC1","Approved symbol","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","HGNC:3433","19q13.32"
"ERCC2","Approved symbol","ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit","HGNC:3434","19q13.32"
"ERCC3","Approved symbol","ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit","HGNC:3435","2q14.3"
"ERCC4","Approved symbol","ERCC4","ERCC excision repair 4, endonuclease catalytic subunit","HGNC:3436","16p13.12"
"ERCC5","Approved symbol","ERCC5","ERCC excision repair 5, endonuclease","HGNC:3437","13q33.1"
"ERCC6","Approved symbol","ERCC6","ERCC excision repair 6, chromatin remodeling factor","HGNC:3438","10q11.23"
"ERCC8","Approved symbol","ERCC8","ERCC excision repair 8, CSA ubiquitin ligase complex subunit","HGNC:3439","5q12.1"
"ERF","Approved symbol","ERF","ETS2 repressor factor","HGNC:3444","19q13.2"
"ERF","Previous symbol","ETF1","eukaryotic translation termination factor 1","HGNC:3477","5q31.2"
"ERG","Approved symbol","ERG","ETS transcription factor ERG","HGNC:3446","21q22.2"
"ERRFI1","Approved symbol","ERRFI1","ERBB receptor feedback inhibitor 1","HGNC:18185","1p36.23"
"ESCO2","Approved symbol","ESCO2","establishment of sister chromatid cohesion N-acetyltransferase 2","HGNC:27230","8p21.1"
"ESR1","Approved symbol","ESR1","estrogen receptor 1","HGNC:3467","6q25.1-q25.2"
"ETAA1","Approved symbol","ETAA1","ETAA1 activator of ATR kinase","HGNC:24648","2p14"
"ETFA","Approved symbol","ETFA","electron transfer flavoprotein subunit alpha","HGNC:3481","15q24.2-q24.3"
"ETFB","Approved symbol","ETFB","electron transfer flavoprotein subunit beta","HGNC:3482","19q13.41"
"ETFDH","Approved symbol","ETFDH","electron transfer flavoprotein dehydrogenase","HGNC:3483","4q32.1"
"ETNK1","Approved symbol","ETNK1","ethanolamine kinase 1","HGNC:24649","12p12.1"
"ETS1","Approved symbol","ETS1","ETS proto-oncogene 1, transcription factor","HGNC:3488","11q24.3"
"ETV1","Approved symbol","ETV1","ETS variant transcription factor 1","HGNC:3490","7p21.2"
"ETV4","Approved symbol","ETV4","ETS variant transcription factor 4","HGNC:3493","17q21.31"
"ETV5","Approved symbol","ETV5","ETS variant transcription factor 5","HGNC:3494","3q27.2"
"ETV6","Approved symbol","ETV6","ETS variant transcription factor 6","HGNC:3495","12p13.2"
"EVC","Approved symbol","EVC","EvC ciliary complex subunit 1","HGNC:3497","4p16.2"
"EVC2","Approved symbol","EVC2","EvC ciliary complex subunit 2","HGNC:19747","4p16.2"
"EWSR1","Approved symbol","EWSR1","EWS RNA binding protein 1","HGNC:3508","22q12.2"
"EXOSC6","Approved symbol","EXOSC6","exosome component 6","HGNC:19055","16q22.1"
"EXT1","Approved symbol","EXT1","exostosin glycosyltransferase 1","HGNC:3512","8q24.11"
"EXT2","Approved symbol","EXT2","exostosin glycosyltransferase 2","HGNC:3513","11p11.2"
"EYA1","Approved symbol","EYA1","EYA transcriptional coactivator and phosphatase 1","HGNC:3519","8q13.3"
"EYA4","Approved symbol","EYA4","EYA transcriptional coactivator and phosphatase 4","HGNC:3522","6q23.2"
"EYS","Approved symbol","EYS","EGF-like photoreceptor maintenance factor","HGNC:21555","6q12"
"EZH1","Approved symbol","EZH1","enhancer of zeste 1 polycomb repressive complex 2 subunit","HGNC:3526","17q21.2"
"EZH1","Alias symbol","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","HGNC:3527","7q36.1"
"EZH2","Approved symbol","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","HGNC:3527","7q36.1"
"EZHIP","Approved symbol","EZHIP","EZH inhibitory protein","HGNC:33738","Xp11.22"
"EZR","Approved symbol","EZR","ezrin","HGNC:12691","6q25.3"
"F10","Approved symbol","F10","coagulation factor X","HGNC:3528","13q34"
"F11","Approved symbol","F11","coagulation factor XI","HGNC:3529","4q35.2"
"F11","Alias symbol","ZNF160","zinc finger protein 160","HGNC:12948","19q13.42"
"F12","Approved symbol","F12","coagulation factor XII","HGNC:3530","5q35.3"
"F13A1","Approved symbol","F13A1","coagulation factor XIII A chain","HGNC:3531","6p25.1"
"F13B","Approved symbol","F13B","coagulation factor XIII B chain","HGNC:3534","1q31.3"
"F2","Approved symbol","F2","coagulation factor II, thrombin","HGNC:3535","11p11.2"
"F3","Approved symbol","F3","coagulation factor III, tissue factor","HGNC:3541","1p21.3"
"F3","Alias symbol","CNTN1","contactin 1","HGNC:2171","12q12"
"F5","Approved symbol","F5","coagulation factor V","HGNC:3542","1q24.2"
"F7","Approved symbol","F7","coagulation factor VII","HGNC:3544","13q34"
"F8","Approved symbol","F8","coagulation factor VIII","HGNC:3546","Xq28"
"F9","Approved symbol","F9","coagulation factor IX","HGNC:3551","Xq27.1"
"FA2H","Approved symbol","FA2H","fatty acid 2-hydroxylase","HGNC:21197","16q23.1"
"FADD","Approved symbol","FADD","Fas associated via death domain","HGNC:3573","11q13.3"
"FAF1","Approved symbol","FAF1","Fas associated factor 1","HGNC:3578","1p32.3"
"FAH","Approved symbol","FAH","fumarylacetoacetate hydrolase","HGNC:3579","15q25.1"
"FAH","Alias symbol","FANCA","FA complementation group A","HGNC:3582","16q24.3"
"FAM131B","Approved symbol","FAM131B","family with sequence similarity 131 member B","HGNC:22202","7q34"
"FAM135B","Approved symbol","FAM135B","family with sequence similarity 135 member B","HGNC:28029","8q24.23"
"FAM161A","Approved symbol","FAM161A","FAM161 centrosomal protein A","HGNC:25808","2p15"
"FAM47C","Approved symbol","FAM47C","family with sequence similarity 47 member C","HGNC:25301","Xp21.1"
"FAM83H","Approved symbol","FAM83H","family with sequence similarity 83 member H","HGNC:24797","8q24.3"
"FANCA","Approved symbol","FANCA","FA complementation group A","HGNC:3582","16q24.3"
"FANCB","Approved symbol","FANCB","FA complementation group B","HGNC:3583","Xp22.2"
"FANCC","Approved symbol","FANCC","FA complementation group C","HGNC:3584","9q22.32"
"FANCD2","Approved symbol","FANCD2","FA complementation group D2","HGNC:3585","3p25.3"
"FANCE","Approved symbol","FANCE","FA complementation group E","HGNC:3586","6p21.31"
"FANCF","Approved symbol","FANCF","FA complementation group F","HGNC:3587","11p14.3"
"FANCG","Approved symbol","FANCG","FA complementation group G","HGNC:3588","9p13.3"
"FANCI","Approved symbol","FANCI","FA complementation group I","HGNC:25568","15q26.1"
"FANCL","Approved symbol","FANCL","FA complementation group L","HGNC:20748","2p16.1"
"FANCM","Approved symbol","FANCM","FA complementation group M","HGNC:23168","14q21.2"
"FAS","Approved symbol","FAS","Fas cell surface death receptor","HGNC:11920","10q23.31"
"FAS","Alias symbol","FASN","fatty acid synthase","HGNC:3594","17q25.3"
"FASLG","Approved symbol","FASLG","Fas ligand","HGNC:11936","1q24.3"
"FAT1","Approved symbol","FAT1","FAT atypical cadherin 1","HGNC:3595","4q35.2"
"FAT3","Approved symbol","FAT3","FAT atypical cadherin 3","HGNC:23112","11q14.3"
"FAT4","Approved symbol","FAT4","FAT atypical cadherin 4","HGNC:23109","4q28.1"
"FBLN1","Approved symbol","FBLN1","fibulin 1","HGNC:3600","22q13.31"
"FBLN2","Approved symbol","FBLN2","fibulin 2","HGNC:3601","3p25.1"
"FBLN5","Approved symbol","FBLN5","fibulin 5","HGNC:3602","14q32.12"
"FBN1","Approved symbol","FBN1","fibrillin 1","HGNC:3603","15q21.1"
"FBP1","Approved symbol","FBP1","fructose-bisphosphatase 1","HGNC:3606","9q22.32"
"FBXO11","Approved symbol","FBXO11","F-box protein 11","HGNC:13590","2p16.3"
"FBXO15","Approved symbol","FBXO15","F-box protein 15","HGNC:13617","18q22.3"
"FBXO25","Approved symbol","FBXO25","F-box protein 25","HGNC:13596","8p23.3"
"FBXO31","Approved symbol","FBXO31","F-box protein 31","HGNC:16510","16q24.2"
"FBXO31","Alias symbol","FBXO5","F-box protein 5","HGNC:13584","6q25.2"
"FBXO7","Approved symbol","FBXO7","F-box protein 7","HGNC:13586","22q12.3"
"FBXW2","Approved symbol","FBXW2","F-box and WD repeat domain containing 2","HGNC:13608","9q33.2"
"FBXW4","Approved symbol","FBXW4","F-box and WD repeat domain containing 4","HGNC:10847","10q24.32"
"FBXW7","Approved symbol","FBXW7","F-box and WD repeat domain containing 7","HGNC:16712","4q31.3"
